order_id,shop_id,user_id,order_amount,total_items,payment_method,created_at,created_at_day
41,42,793,352,1,credit_card,3/24/2017 14:15,"Friday, March 24, 2017"
42,1,847,316,2,debit,3/20/2017 14:58,"Monday, March 20, 2017"
43,18,934,624,4,debit,3/21/2017 6:59,"Tuesday, March 21, 2017"
44,21,792,284,2,credit_card,3/8/2017 4:16,"Wednesday, March 8, 2017"
45,99,759,195,1,credit_card,3/2/2017 8:13,"Thursday, March 2, 2017"
46,29,969,652,4,credit_card,3/4/2017 8:58,"Saturday, March 4, 2017"
47,33,954,346,2,cash,3/25/2017 14:18,"Saturday, March 25, 2017"
48,52,791,438,3,cash,3/5/2017 15:50,"Sunday, March 5, 2017"
49,3,714,296,2,debit,3/20/2017 16:48,"Monday, March 20, 2017"
50,64,768,399,3,debit,3/2/2017 17:26,"Thursday, March 2, 2017"
51,58,984,276,2,debit,3/23/2017 7:05,"Thursday, March 23, 2017"
52,81,959,531,3,cash,3/25/2017 22:58,"Saturday, March 25, 2017"
53,30,968,459,3,cash,3/28/2017 8:15,"Tuesday, March 28, 2017"
54,33,842,692,4,debit,3/8/2017 7:36,"Wednesday, March 8, 2017"
55,79,823,181,1,cash,3/25/2017 4:47,"Saturday, March 25, 2017"
56,51,851,561,3,credit_card,3/13/2017 5:05,"Monday, March 13, 2017"
57,53,739,560,5,credit_card,3/18/2017 8:45,"Saturday, March 18, 2017"
58,51,759,187,1,cash,3/30/2017 22:34,"Thursday, March 30, 2017"
59,47,837,145,1,credit_card,3/13/2017 6:35,"Monday, March 13, 2017"
60,80,908,145,1,debit,3/27/2017 9:03,"Monday, March 27, 2017"
61,42,607,704000,2000,credit_card,3/4/2017 4:00,"Saturday, March 4, 2017"
62,60,720,531,3,debit,3/21/2017 18:08,"Tuesday, March 21, 2017"
63,86,981,260,2,debit,3/24/2017 6:11,"Friday, March 24, 2017"
64,91,962,160,1,debit,3/1/2017 19:05,"Wednesday, March 1, 2017"
65,72,887,480,3,credit_card,3/2/2017 0:15,"Thursday, March 2, 2017"
66,7,988,112,1,debit,3/29/2017 10:22,"Wednesday, March 29, 2017"
67,66,743,322,2,cash,3/1/2017 10:40,"Wednesday, March 1, 2017"
68,21,812,284,2,debit,3/3/2017 15:52,"Friday, March 3, 2017"
69,86,994,390,3,credit_card,3/21/2017 22:05,"Tuesday, March 21, 2017"
70,58,876,138,1,debit,3/4/2017 10:38,"Saturday, March 4, 2017"
71,11,725,184,1,credit_card,3/14/2017 17:12,"Tuesday, March 14, 2017"
72,34,813,122,1,credit_card,3/20/2017 17:43,"Monday, March 20, 2017"
73,86,960,130,1,debit,3/4/2017 14:15,"Saturday, March 4, 2017"
74,14,968,116,1,cash,3/22/2017 0:14,"Wednesday, March 22, 2017"
75,5,862,142,1,credit_card,3/26/2017 9:14,"Sunday, March 26, 2017"
76,84,744,459,3,cash,3/6/2017 0:39,"Monday, March 6, 2017"
77,20,975,127,1,cash,3/19/2017 13:05,"Sunday, March 19, 2017"
78,41,985,354,3,cash,3/22/2017 13:41,"Wednesday, March 22, 2017"
79,8,806,132,1,credit_card,3/27/2017 3:39,"Monday, March 27, 2017"
80,20,838,254,2,credit_card,3/3/2017 14:00,"Friday, March 3, 2017"
81,52,979,584,4,credit_card,3/11/2017 14:30,"Saturday, March 11, 2017"
82,28,868,328,2,debit,3/4/2017 6:53,"Saturday, March 4, 2017"
83,48,857,234,2,cash,3/11/2017 18:14,"Saturday, March 11, 2017"
84,100,817,111,1,cash,3/12/2017 22:10,"Sunday, March 12, 2017"
85,41,707,118,1,debit,3/30/2017 12:05,"Thursday, March 30, 2017"
86,53,908,224,2,credit_card,3/27/2017 20:46,"Monday, March 27, 2017"
87,56,711,234,2,credit_card,3/17/2017 2:08,"Friday, March 17, 2017"
88,64,713,399,3,credit_card,3/4/2017 12:15,"Saturday, March 4, 2017"
89,55,998,513,3,credit_card,3/9/2017 13:22,"Thursday, March 9, 2017"
90,28,705,164,1,cash,3/11/2017 18:13,"Saturday, March 11, 2017"
91,50,744,193,1,debit,3/2/2017 6:36,"Thursday, March 2, 2017"
92,3,835,296,2,credit_card,3/9/2017 4:01,"Thursday, March 9, 2017"
93,22,856,146,1,credit_card,3/24/2017 11:47,"Friday, March 24, 2017"
94,58,810,276,2,debit,3/7/2017 4:27,"Tuesday, March 7, 2017"
95,87,961,149,1,cash,3/21/2017 3:20,"Tuesday, March 21, 2017"
96,35,975,328,2,credit_card,3/1/2017 6:27,"Wednesday, March 1, 2017"
97,70,758,346,2,cash,3/7/2017 14:57,"Tuesday, March 7, 2017"
98,92,850,180,2,cash,3/22/2017 19:21,"Wednesday, March 22, 2017"
99,79,741,181,1,debit,3/16/2017 0:16,"Thursday, March 16, 2017"
100,18,752,780,5,cash,3/6/2017 23:41,"Monday, March 6, 2017"
101,77,972,156,1,credit_card,3/17/2017 6:45,"Friday, March 17, 2017"
102,74,923,612,4,credit_card,3/28/2017 11:00,"Tuesday, March 28, 2017"
103,41,964,354,3,cash,3/17/2017 7:59,"Friday, March 17, 2017"
104,53,740,224,2,cash,3/17/2017 7:29,"Friday, March 17, 2017"
105,54,803,532,4,cash,3/28/2017 5:30,"Tuesday, March 28, 2017"
106,13,746,320,2,cash,3/16/2017 15:04,"Thursday, March 16, 2017"
107,87,953,149,1,cash,3/17/2017 8:03,"Friday, March 17, 2017"
108,12,732,201,1,credit_card,3/21/2017 20:26,"Tuesday, March 21, 2017"
109,58,926,276,2,cash,3/1/2017 3:15,"Wednesday, March 1, 2017"
110,58,774,414,3,cash,3/1/2017 10:01,"Wednesday, March 1, 2017"
111,83,893,129,1,cash,3/27/2017 7:07,"Monday, March 27, 2017"
112,68,984,136,1,credit_card,3/11/2017 9:43,"Saturday, March 11, 2017"
113,73,885,165,1,debit,3/6/2017 0:59,"Monday, March 6, 2017"
114,69,857,262,2,credit_card,3/13/2017 21:33,"Monday, March 13, 2017"
115,41,755,590,5,cash,3/20/2017 23:15,"Monday, March 20, 2017"
116,25,791,260,2,credit_card,3/19/2017 21:46,"Sunday, March 19, 2017"
117,6,813,374,2,debit,3/10/2017 14:25,"Friday, March 10, 2017"
118,61,759,316,2,debit,3/29/2017 22:43,"Wednesday, March 29, 2017"
119,84,789,153,1,credit_card,3/5/2017 4:08,"Sunday, March 5, 2017"
120,98,745,266,2,credit_card,3/17/2017 20:34,"Friday, March 17, 2017"
121,5,774,284,2,credit_card,3/26/2017 8:16,"Sunday, March 26, 2017"
122,13,958,480,3,credit_card,3/22/2017 13:12,"Wednesday, March 22, 2017"
123,35,997,492,3,debit,3/5/2017 1:16,"Sunday, March 5, 2017"
124,24,949,280,2,cash,3/11/2017 1:58,"Saturday, March 11, 2017"
125,2,983,188,2,credit_card,3/13/2017 13:07,"Monday, March 13, 2017"
126,49,884,258,2,cash,3/19/2017 3:22,"Sunday, March 19, 2017"
127,18,839,624,4,debit,3/9/2017 10:47,"Thursday, March 9, 2017"
128,77,817,312,2,credit_card,3/5/2017 18:46,"Sunday, March 5, 2017"
129,63,963,544,4,debit,3/25/2017 5:52,"Saturday, March 25, 2017"
130,51,721,561,3,debit,3/14/2017 3:54,"Tuesday, March 14, 2017"
131,75,723,256,2,debit,3/28/2017 6:01,"Tuesday, March 28, 2017"
132,33,777,346,2,debit,3/13/2017 18:46,"Monday, March 13, 2017"
133,53,963,224,2,credit_card,3/3/2017 2:32,"Friday, March 3, 2017"
134,24,894,280,2,credit_card,3/8/2017 4:56,"Wednesday, March 8, 2017"
135,86,845,390,3,cash,3/27/2017 9:54,"Monday, March 27, 2017"
136,58,742,276,2,debit,3/19/2017 17:25,"Sunday, March 19, 2017"
137,15,961,765,5,credit_card,3/26/2017 5:06,"Sunday, March 26, 2017"
138,34,760,122,1,debit,3/30/2017 17:31,"Thursday, March 30, 2017"
139,5,915,426,3,cash,3/28/2017 0:09,"Tuesday, March 28, 2017"
140,55,789,513,3,debit,3/29/2017 16:36,"Wednesday, March 29, 2017"
141,57,930,441,3,debit,3/15/2017 12:36,"Wednesday, March 15, 2017"
142,73,935,165,1,cash,3/26/2017 14:23,"Sunday, March 26, 2017"
143,80,855,145,1,debit,3/11/2017 1:13,"Saturday, March 11, 2017"
144,80,979,290,2,debit,3/30/2017 10:41,"Thursday, March 30, 2017"
145,21,828,284,2,debit,3/18/2017 20:13,"Saturday, March 18, 2017"
146,72,906,640,4,cash,3/30/2017 9:55,"Thursday, March 30, 2017"
147,100,899,111,1,debit,3/5/2017 16:49,"Sunday, March 5, 2017"
148,57,715,294,2,credit_card,3/17/2017 7:01,"Friday, March 17, 2017"
149,71,985,164,1,credit_card,3/4/2017 17:21,"Saturday, March 4, 2017"
150,100,847,222,2,debit,3/12/2017 21:36,"Sunday, March 12, 2017"
151,47,718,435,3,credit_card,3/6/2017 5:24,"Monday, March 6, 2017"
152,16,755,156,1,credit_card,3/3/2017 23:20,"Friday, March 3, 2017"
153,33,808,173,1,cash,3/13/2017 22:14,"Monday, March 13, 2017"
154,64,942,266,2,cash,3/21/2017 7:05,"Tuesday, March 21, 2017"
155,33,872,173,1,debit,3/29/2017 14:56,"Wednesday, March 29, 2017"
156,9,986,118,1,cash,3/13/2017 11:07,"Monday, March 13, 2017"
157,84,734,306,2,credit_card,3/4/2017 8:05,"Saturday, March 4, 2017"
158,88,906,352,2,credit_card,3/24/2017 5:44,"Friday, March 24, 2017"
159,92,795,90,1,credit_card,3/29/2017 3:07,"Wednesday, March 29, 2017"
160,73,725,330,2,debit,3/22/2017 18:08,"Wednesday, March 22, 2017"
161,78,990,25725,1,credit_card,3/12/2017 5:56,"Sunday, March 12, 2017"
162,3,877,296,2,debit,3/20/2017 17:07,"Monday, March 20, 2017"
163,93,913,228,2,cash,3/26/2017 23:54,"Sunday, March 26, 2017"
164,63,915,272,2,debit,3/1/2017 6:07,"Wednesday, March 1, 2017"
165,29,941,489,3,cash,3/9/2017 16:26,"Thursday, March 9, 2017"
166,44,921,144,1,credit_card,3/26/2017 23:17,"Sunday, March 26, 2017"
167,14,754,464,4,debit,3/7/2017 19:47,"Tuesday, March 7, 2017"
168,56,913,468,4,credit_card,3/11/2017 19:37,"Saturday, March 11, 2017"
169,48,797,351,3,credit_card,3/8/2017 6:12,"Wednesday, March 8, 2017"
170,5,970,284,2,debit,3/24/2017 0:33,"Friday, March 24, 2017"
171,91,828,480,3,credit_card,3/28/2017 8:18,"Tuesday, March 28, 2017"
172,57,724,147,1,debit,3/17/2017 7:08,"Friday, March 17, 2017"
173,55,778,342,2,cash,3/2/2017 23:54,"Thursday, March 2, 2017"
174,7,956,224,2,debit,3/4/2017 11:33,"Saturday, March 4, 2017"
175,49,918,387,3,debit,3/13/2017 15:25,"Monday, March 13, 2017"
176,50,792,193,1,credit_card,3/20/2017 13:51,"Monday, March 20, 2017"
177,97,718,648,4,cash,3/16/2017 6:33,"Thursday, March 16, 2017"
178,57,849,441,3,cash,3/20/2017 5:20,"Monday, March 20, 2017"
179,30,849,153,1,debit,3/25/2017 4:09,"Saturday, March 25, 2017"
180,37,897,142,1,debit,3/2/2017 22:40,"Thursday, March 2, 2017"
181,12,871,201,1,cash,3/2/2017 4:37,"Thursday, March 2, 2017"
182,20,823,127,1,cash,3/3/2017 16:29,"Friday, March 3, 2017"
183,86,901,260,2,credit_card,3/16/2017 17:47,"Thursday, March 16, 2017"
184,26,920,176,1,cash,3/8/2017 0:38,"Wednesday, March 8, 2017"
185,34,944,488,4,debit,3/24/2017 5:49,"Friday, March 24, 2017"
186,71,888,328,2,debit,3/30/2017 5:46,"Thursday, March 30, 2017"
187,93,749,228,2,credit_card,3/6/2017 3:43,"Monday, March 6, 2017"
188,41,980,118,1,cash,3/2/2017 3:13,"Thursday, March 2, 2017"
189,17,734,176,1,cash,3/11/2017 10:36,"Saturday, March 11, 2017"
190,43,928,362,2,debit,3/30/2017 7:00,"Thursday, March 30, 2017"
191,7,805,112,1,credit_card,3/22/2017 5:28,"Wednesday, March 22, 2017"
192,26,922,352,2,cash,3/17/2017 17:51,"Friday, March 17, 2017"
193,28,879,328,2,credit_card,3/15/2017 14:35,"Wednesday, March 15, 2017"
194,15,942,153,1,cash,3/13/2017 14:19,"Monday, March 13, 2017"
195,63,946,408,3,cash,3/12/2017 0:07,"Sunday, March 12, 2017"
196,37,745,426,3,credit_card,3/1/2017 3:00,"Wednesday, March 1, 2017"
197,85,809,516,3,debit,3/21/2017 10:58,"Tuesday, March 21, 2017"
198,19,960,326,2,debit,3/5/2017 20:01,"Sunday, March 5, 2017"
199,27,976,338,2,credit_card,3/24/2017 16:25,"Friday, March 24, 2017"
200,56,961,117,1,cash,3/8/2017 22:18,"Wednesday, March 8, 2017"
201,29,929,163,1,credit_card,3/15/2017 11:12,"Wednesday, March 15, 2017"
202,31,967,258,2,credit_card,3/4/2017 20:47,"Saturday, March 4, 2017"
203,67,768,393,3,cash,3/28/2017 7:25,"Tuesday, March 28, 2017"
204,36,785,260,2,credit_card,3/22/2017 19:20,"Wednesday, March 22, 2017"
205,39,987,268,2,cash,3/19/2017 5:09,"Sunday, March 19, 2017"
206,89,747,588,3,debit,3/4/2017 4:01,"Saturday, March 4, 2017"
207,16,746,156,1,cash,3/9/2017 21:53,"Thursday, March 9, 2017"
208,88,999,176,1,debit,3/8/2017 11:30,"Wednesday, March 8, 2017"
209,88,771,176,1,cash,3/10/2017 5:17,"Friday, March 10, 2017"
210,37,727,284,2,debit,3/20/2017 11:06,"Monday, March 20, 2017"
211,13,701,160,1,credit_card,3/4/2017 8:20,"Saturday, March 4, 2017"
212,22,712,292,2,credit_card,3/30/2017 9:40,"Thursday, March 30, 2017"
213,88,787,352,2,credit_card,3/13/2017 17:28,"Monday, March 13, 2017"
214,26,980,352,2,cash,3/10/2017 13:59,"Friday, March 10, 2017"
215,54,742,399,3,credit_card,3/27/2017 3:28,"Monday, March 27, 2017"
216,41,793,236,2,cash,3/17/2017 1:55,"Friday, March 17, 2017"
217,32,862,202,2,debit,3/9/2017 16:46,"Thursday, March 9, 2017"
218,15,960,306,2,credit_card,3/27/2017 10:44,"Monday, March 27, 2017"
219,75,978,256,2,cash,3/4/2017 7:50,"Saturday, March 4, 2017"
220,23,884,780,5,credit_card,3/3/2017 20:11,"Friday, March 3, 2017"
221,21,994,142,1,cash,3/3/2017 4:18,"Friday, March 3, 2017"
222,57,753,147,1,debit,3/23/2017 7:14,"Thursday, March 23, 2017"
223,96,829,765,5,debit,3/13/2017 15:16,"Monday, March 13, 2017"
224,68,767,272,2,credit_card,3/7/2017 9:58,"Tuesday, March 7, 2017"
225,29,927,163,1,debit,3/2/2017 21:18,"Thursday, March 2, 2017"
226,98,734,133,1,cash,3/8/2017 21:43,"Wednesday, March 8, 2017"
227,58,928,138,1,cash,3/18/2017 12:59,"Saturday, March 18, 2017"
228,73,917,330,2,debit,3/19/2017 22:59,"Sunday, March 19, 2017"
229,92,757,90,1,debit,3/13/2017 23:57,"Monday, March 13, 2017"
230,79,772,362,2,cash,3/28/2017 7:21,"Tuesday, March 28, 2017"
231,68,865,272,2,cash,3/4/2017 19:40,"Saturday, March 4, 2017"
232,27,730,338,2,cash,3/3/2017 5:49,"Friday, March 3, 2017"
233,6,865,374,2,cash,3/8/2017 4:40,"Wednesday, March 8, 2017"
234,95,761,336,2,credit_card,3/29/2017 1:14,"Wednesday, March 29, 2017"
235,29,719,326,2,cash,3/22/2017 21:56,"Wednesday, March 22, 2017"
236,60,938,531,3,debit,3/29/2017 13:49,"Wednesday, March 29, 2017"
237,92,837,180,2,credit_card,3/18/2017 20:51,"Saturday, March 18, 2017"
238,99,835,585,3,debit,3/3/2017 17:45,"Friday, March 3, 2017"
239,2,932,188,2,debit,3/17/2017 0:45,"Friday, March 17, 2017"
240,68,967,136,1,cash,3/9/2017 13:15,"Thursday, March 9, 2017"
241,88,876,176,1,credit_card,3/8/2017 18:10,"Wednesday, March 8, 2017"
242,34,953,244,2,debit,3/1/2017 12:27,"Wednesday, March 1, 2017"
243,38,881,570,3,credit_card,3/13/2017 19:44,"Monday, March 13, 2017"
244,93,861,114,1,credit_card,3/3/2017 5:19,"Friday, March 3, 2017"
245,32,928,202,2,cash,3/30/2017 9:30,"Thursday, March 30, 2017"
246,92,890,360,4,cash,3/18/2017 17:42,"Saturday, March 18, 2017"
247,62,786,160,1,cash,3/12/2017 23:19,"Sunday, March 12, 2017"
248,26,854,176,1,debit,3/21/2017 19:08,"Tuesday, March 21, 2017"
249,33,728,173,1,cash,3/29/2017 22:04,"Wednesday, March 29, 2017"
250,77,732,156,1,debit,3/20/2017 4:20,"Monday, March 20, 2017"
251,96,932,306,2,credit_card,3/14/2017 5:28,"Tuesday, March 14, 2017"
252,75,892,256,2,debit,3/24/2017 23:34,"Friday, March 24, 2017"
253,76,746,310,2,cash,3/6/2017 15:21,"Monday, March 6, 2017"
254,100,753,222,2,debit,3/4/2017 11:23,"Saturday, March 4, 2017"
255,18,843,156,1,credit_card,3/21/2017 0:14,"Tuesday, March 21, 2017"
256,6,794,187,1,cash,3/18/2017 19:59,"Saturday, March 18, 2017"
257,79,844,362,2,credit_card,3/7/2017 20:21,"Tuesday, March 7, 2017"
258,6,842,374,2,credit_card,3/18/2017 10:12,"Saturday, March 18, 2017"
259,75,760,512,4,cash,3/18/2017 8:19,"Saturday, March 18, 2017"
260,99,963,780,4,credit_card,3/25/2017 11:41,"Saturday, March 25, 2017"
261,52,830,146,1,credit_card,3/13/2017 18:19,"Monday, March 13, 2017"
262,17,775,176,1,credit_card,3/24/2017 14:06,"Friday, March 24, 2017"
263,9,871,236,2,debit,3/17/2017 0:50,"Friday, March 17, 2017"
264,97,827,324,2,debit,3/3/2017 1:06,"Friday, March 3, 2017"
265,16,950,780,5,credit_card,3/24/2017 7:32,"Friday, March 24, 2017"
266,69,871,262,2,debit,3/20/2017 16:59,"Monday, March 20, 2017"
267,12,879,201,1,cash,3/14/2017 12:22,"Tuesday, March 14, 2017"
268,73,790,330,2,credit_card,3/19/2017 19:03,"Sunday, March 19, 2017"
269,56,733,234,2,credit_card,3/7/2017 3:50,"Tuesday, March 7, 2017"
270,6,986,187,1,credit_card,3/18/2017 20:16,"Saturday, March 18, 2017"
271,33,926,173,1,debit,3/17/2017 9:08,"Friday, March 17, 2017"
272,12,727,402,2,credit_card,3/24/2017 22:40,"Friday, March 24, 2017"
273,32,839,202,2,debit,3/14/2017 5:00,"Tuesday, March 14, 2017"
274,34,803,122,1,cash,3/3/2017 9:05,"Friday, March 3, 2017"
275,5,967,426,3,cash,3/3/2017 7:38,"Friday, March 3, 2017"
276,55,989,171,1,credit_card,3/25/2017 15:16,"Saturday, March 25, 2017"
277,49,777,129,1,cash,3/30/2017 21:49,"Thursday, March 30, 2017"
278,51,954,374,2,credit_card,3/17/2017 4:59,"Friday, March 17, 2017"
279,54,763,266,2,cash,3/29/2017 5:18,"Wednesday, March 29, 2017"
280,4,869,128,1,credit_card,3/5/2017 8:27,"Sunday, March 5, 2017"
281,90,807,534,3,debit,3/27/2017 23:41,"Monday, March 27, 2017"
282,6,836,561,3,debit,3/14/2017 2:26,"Tuesday, March 14, 2017"
283,71,700,492,3,cash,3/26/2017 4:43,"Sunday, March 26, 2017"
284,9,772,354,3,debit,3/4/2017 13:49,"Saturday, March 4, 2017"
285,64,711,399,3,debit,3/11/2017 20:07,"Saturday, March 11, 2017"
286,77,742,156,1,cash,3/14/2017 2:40,"Tuesday, March 14, 2017"
287,58,860,414,3,debit,3/15/2017 21:12,"Wednesday, March 15, 2017"
288,54,945,266,2,credit_card,3/23/2017 17:42,"Thursday, March 23, 2017"
289,47,806,290,2,debit,3/24/2017 17:51,"Friday, March 24, 2017"
290,50,803,386,2,debit,3/30/2017 5:45,"Thursday, March 30, 2017"
291,33,858,346,2,credit_card,3/12/2017 8:03,"Sunday, March 12, 2017"
292,5,890,142,1,credit_card,3/29/2017 21:22,"Wednesday, March 29, 2017"
293,19,936,326,2,cash,3/21/2017 3:53,"Tuesday, March 21, 2017"
294,51,918,561,3,cash,3/14/2017 13:22,"Tuesday, March 14, 2017"
295,11,738,184,1,cash,3/6/2017 10:03,"Monday, March 6, 2017"
296,38,835,190,1,debit,3/21/2017 6:36,"Tuesday, March 21, 2017"
297,79,791,181,1,credit_card,3/22/2017 17:03,"Wednesday, March 22, 2017"
298,70,818,346,2,debit,3/4/2017 17:30,"Saturday, March 4, 2017"
299,53,928,112,1,credit_card,3/12/2017 19:19,"Sunday, March 12, 2017"
300,29,964,489,3,debit,3/11/2017 4:36,"Saturday, March 11, 2017"
301,70,882,173,1,credit_card,3/17/2017 2:51,"Friday, March 17, 2017"
302,69,854,131,1,debit,3/19/2017 18:35,"Sunday, March 19, 2017"
303,25,815,390,3,cash,3/9/2017 22:00,"Thursday, March 9, 2017"
304,15,952,153,1,cash,3/10/2017 17:49,"Friday, March 10, 2017"
305,94,916,268,2,cash,3/29/2017 22:46,"Wednesday, March 29, 2017"
306,25,701,390,3,cash,3/24/2017 19:36,"Friday, March 24, 2017"
307,34,924,122,1,debit,3/2/2017 17:32,"Thursday, March 2, 2017"
308,60,992,354,2,cash,3/12/2017 19:44,"Sunday, March 12, 2017"
309,42,770,352,1,credit_card,3/11/2017 18:14,"Saturday, March 11, 2017"
310,5,704,284,2,credit_card,3/20/2017 7:50,"Monday, March 20, 2017"
311,79,720,181,1,debit,3/16/2017 3:29,"Thursday, March 16, 2017"
312,76,836,310,2,debit,3/22/2017 9:16,"Wednesday, March 22, 2017"
313,96,718,459,3,cash,3/10/2017 20:06,"Friday, March 10, 2017"
314,24,938,420,3,credit_card,3/14/2017 7:24,"Tuesday, March 14, 2017"
315,6,712,374,2,credit_card,3/25/2017 11:59,"Saturday, March 25, 2017"
316,2,865,282,3,debit,3/17/2017 0:21,"Friday, March 17, 2017"
317,11,880,368,2,credit_card,3/21/2017 14:56,"Tuesday, March 21, 2017"
318,52,848,292,2,cash,3/30/2017 23:41,"Thursday, March 30, 2017"
319,83,951,258,2,debit,3/4/2017 5:10,"Saturday, March 4, 2017"
320,23,840,156,1,cash,3/4/2017 3:55,"Saturday, March 4, 2017"
321,36,888,260,2,debit,3/15/2017 22:33,"Wednesday, March 15, 2017"
322,10,877,296,2,credit_card,3/12/2017 7:12,"Sunday, March 12, 2017"
323,92,783,90,1,debit,3/8/2017 3:49,"Wednesday, March 8, 2017"
324,75,893,128,1,credit_card,3/5/2017 0:04,"Sunday, March 5, 2017"
325,79,887,181,1,debit,3/19/2017 10:55,"Sunday, March 19, 2017"
326,14,779,232,2,credit_card,3/15/2017 7:05,"Wednesday, March 15, 2017"
327,12,920,201,1,debit,3/26/2017 19:24,"Sunday, March 26, 2017"
328,75,832,128,1,credit_card,3/16/2017 12:54,"Thursday, March 16, 2017"
329,83,946,258,2,credit_card,3/26/2017 6:35,"Sunday, March 26, 2017"
330,36,763,260,2,credit_card,3/21/2017 19:32,"Tuesday, March 21, 2017"
331,80,990,290,2,cash,3/18/2017 22:26,"Saturday, March 18, 2017"
332,40,776,322,2,cash,3/12/2017 15:02,"Sunday, March 12, 2017"
333,57,794,441,3,credit_card,3/22/2017 0:43,"Wednesday, March 22, 2017"
334,68,968,272,2,debit,3/2/2017 15:39,"Thursday, March 2, 2017"
335,44,829,432,3,debit,3/23/2017 21:27,"Thursday, March 23, 2017"
336,92,853,180,2,cash,3/27/2017 12:53,"Monday, March 27, 2017"
337,18,969,468,3,debit,3/26/2017 0:49,"Sunday, March 26, 2017"
338,91,811,640,4,credit_card,3/10/2017 13:14,"Friday, March 10, 2017"
339,52,892,146,1,debit,3/17/2017 5:02,"Friday, March 17, 2017"
340,35,893,656,4,cash,3/15/2017 11:25,"Wednesday, March 15, 2017"
341,7,826,336,3,debit,3/17/2017 15:13,"Friday, March 17, 2017"
342,54,735,399,3,credit_card,3/17/2017 22:49,"Friday, March 17, 2017"
343,98,999,266,2,cash,3/23/2017 3:32,"Thursday, March 23, 2017"
344,63,743,136,1,credit_card,3/7/2017 1:45,"Tuesday, March 7, 2017"
345,84,726,459,3,credit_card,3/3/2017 12:54,"Friday, March 3, 2017"
346,72,818,160,1,debit,3/5/2017 12:53,"Sunday, March 5, 2017"
347,40,758,161,1,credit_card,3/5/2017 2:54,"Sunday, March 5, 2017"
348,1,907,158,1,credit_card,3/3/2017 6:59,"Friday, March 3, 2017"
349,31,759,387,3,debit,3/24/2017 2:21,"Friday, March 24, 2017"
350,80,864,145,1,debit,3/25/2017 23:51,"Saturday, March 25, 2017"
